year,province,workshops_per_100k
2023,Leinster,1.3447675749642325
2023,Munster,0.0
2023,Connacht,0.6434882209481155
2023,Ulster,2.380413953986598
2024,Leinster,0.9839762743640725
2024,Munster,0.9177882038517735
2024,Connacht,0.0
2024,Ulster,0.8926552327449743
2025,Leinster,2.295944640182836
2025,Munster,0.27533646115553206
2025,Connacht,0.16087205523702888
2025,Ulster,0.5951034884966495
